Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Gender motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Portugal,Police protest,24-Jan,Free,"In November 2023, Prime Minister António Costa approved hazard pay raises for the criminal investigation police. The raise amounts to 700 euros a month, but was not given to he Public Security Police or the National Republican Guard.",Public Security Police and National Republican Guard demand the same hazard pay raise given to the criminal investigation police.,">1,000","Public Security Police, National Republican Guard",2 months,No policy/leadership change in response to the protests.,,X,,,,Thousands,,,,,,Lisbon
Tanzania,Constitutional reform protest,24-Jan,Partly free,President Samia Suluhu Hassan lifted a 2016 ban on protests in 2023. Elections in 2025.,Demand constitutional changes to weaken the power of the president and reforms to the electoral system to allow for free and fair elections next year.,>100,Party for Democracy and Progress (CHADEMA),1 day,No policy/leadership change in response to the protests.,,,X,,,Hundreds,,,,,,Dodoma
Transnistria,Moldova duties protest,24-Jan,Not free,Chisinau refused to scrap newly introduced duties on imports and exports to and from the region.,Opposition to duties and ongoing territorial dispute with Moldova.,>100,Residents of Transnistria,1 day,No policy/leadership change in response to the protests.,,X,X,,,Hundreds,,,,,,Tiraspol
Armenia,Nagorno-Karabakh crisis protests,23-Sep,Partly free,"On September 19, Azerbaijan launched a military operation against the breakaway Nagorno-Karabakh region and won decisively by September 20.",Fury over the inability of Armenian leaders and Russian peacekeepers to prevent Azerbaijan from capturing the majority-Armenian breakaway region of Nagorno-Karabakh.,">1,000",General public.,1 month,No policy/leadership change in response to the protest.,,,X,,,Thousands,,,,,,Yerevan
Bulgaria,Green energy transition protests,23-Sep,Free,Bulgaria's government was about to submit plans to the European Commission that would detail a phase-out of its coal power plants.,Fear that phasing out coal will cause energy shortages and eliminate jobs.,">1,000","Coal miners, energy workers.",1 week,"The government announced that it would pay thirty-six months' salary to any energy sector workers who decided to quit, and promised that no coal mine would close before 2038. Protests still continued with demonstrators shutting down roadways throughout the country.",,X,X,,,Thousands,X,,,,,Sofia
Bulgaria,Vazrazhdane protest,23-Sep,Free,The ultra-nationalist Vazrazhdane (Revival) party called for a protest in Sofia.,Anger over the Bulgarian government's continued support for Ukraine and its hosting of NATO bases.,>100,Supporters of the Vazrazhdane Party,1 day,No policy/leadership change in response to the protest.,,,X,,,Hundreds,,,,,,Sofia
Canada,Anti-India protests,23-Sep,Free,"On June 18, at least six men assassinated Hardeep Singh Nijjar, a Sikh separatist activist living in British Columbia. On September 18, Prime Minister Justin Trudeau told Parliament that Canadian security agencies were pursuing credible allegations of a link between the assassins and the government of India.",Outrage over what would amount to an extrajudicial assassination and infringement of Canadian sovereignty if allegations proved true.,>400,Sikhs.,1 month,No policy/leadership change in response to the protest.,,,X,,,Hundreds,,,,,,Ottawa
Colombia,Indigenous anti-violence protest,23-Sep,Free,"More than 37,000 people across Colombia were affected by violence between January and September of 2023, with indigenous people disproportionately affected.","Fears over violence, especially against land defenders.",">1,000",Indigenous people,1 day,No policy/leadership change in response to the protest.,,,X,,,Thousands,,,,,,Bogota
France,Mayotte is Thirsty,23-Sep,Free,"Drought and water scarcity on the French island of Mayotte, where taps tend to work only one day out of three.","Protesters demand accountability for alleged embezzling, leaks, and lack of investments made to maintain sustainable water supplies.",>100,Mayotte residents,1 month,"The French minister for overseas territories visited in November 2023 and thanked the residents for ""accepting the unacceptable.""",,,,X,,Hundreds,,,,,,Paris
Germany,Autobahn rave,23-Sep,Free,Berlin authorities were moving closer to approving a plan to extend the city’s Autobahn into the former East Germany.,The construction of the Autobahn extension would require the demolition of several apartment buildings and a few trendy bars.,">1,000",General public,1 day,No policy/leadership change in response to the protest.,,,X,,,Thousands,,,,,,Berlin
Ghana,2023 economic protests,23-Sep,Free,"Democracy Hub, a governance advocacy group, called for a protest. The opposition party, the National Democratic Congress, called for protests in Accra to oust the governor of the central bank and two deputies, blaming them for inflation and high cost of living caused by their reckless financing of the government.","Anger over the high cost of living, lack of jobs, high public debt, and corruption. Protests against the Bank of Ghana governor called for his resignation.",>100,"General public, National Democratic Congress party.",2 weeks,No policy/leadership change in response to the protests.,,X,,X,,Hundreds,,,,,,Accra
Greece,ID card protests,23-Sep,Free,The Greek government was planning to introduce new identity cards.,Conspiracy theories claim that the cards will be embedded with chips to track the holder’s location.,">5,000",Deeply religious Christians,1 week,No policy/leadership change in response to the protest.,,,X,,,Thousands,,,,,,Athens
India,Water-sharing protests,23-Sep,Partly free,"The Indian Supreme Court ordered the government of the state of Karnataka to release 5,000 cusecs of water from the Kaveri River to the neighboring Tamil Nadu state.",Fear that the order to release water to the neighboring state will leave insufficient water for households and farmers in Karnataka. Demand state government call a special assembly to discuss the issue.,">1,000","Farmers, trade unionists.",1 month,No policy/leadership change in response to the protests.,,X,X,,,Thousands,,,,,,New Delhi
Indonesia,Rempang Eco-City protests,23-Sep,Partly free,"The government announced plans to evict thousands from residents of Rempang Island to make way for a multibillion-dollar Chinese-owned glass factory and ""eco-city."" Residents were told to leave the island by the end of September.",Fears among residents that the evictions would severely limit their economic opportunities.,">1,000",Residents of Rempang Island.,3 months,"President Joko Widodo scrapped the eviction deadline, but maintains that those who do not leave the island will still be moved in a ""peaceful way."" The Constitutional Court rejected a lawsuit brought by the island's residents in November 2023.",,X,X,,,Thousands,,,,,,Jakarta
Iraq,Kurdistan civil servant protest,23-Sep,Not free,Civil servants in Iraqi Kurdistan were not being paid.,Accusations that the Iraqi government was not sending the necessary funds to the Kurdistan Regional Government to pay civil servants.,">1,000",Civil servants in Dohuk,1 day,"On September 18, the Iraqi government agreed to increase funding to the Kurdistan Regional Government to pay civil servants.",,X,X,,,Thousads,X,,,,,Baghdad
Libya,Derna flood protest,23-Sep,Not free,"In the town of Derna, two dams broke on September 11, causing flash floods that killed thousands of people.",Grief over the devastastion; anger over perceived corruption and neglect that contributed to the dams' collapse.,">1,000",Residents of Derna,1 day,No policy/leadership change in response to the protest.,,,,X,,Thousands,,,,,,Tripoli
